Date,Close,Dividends,High,Low,Open,Stock Splits,Ticker,Volume
2010-05-24,1073.65,0,1089.95,1072.7,1084.78,0,^GSPC,5224040000
2010-05-25,1074.03,0,1074.75,1040.78,1067.42,0,^GSPC,7329580000
2010-05-26,1067.95,0,1090.75,1065.59,1075.51,0,^GSPC,4521050000
2010-05-27,1103.06,0,1103.52,1074.27,1074.27,0,^GSPC,5698460000
2010-05-28,1089.41,0,1102.59,1084.78,1102.59,0,^GSPC,4871210000
2010-06-01,1070.71,0,1094.77,1069.89,1087.3,0,^GSPC,5271480000
2010-06-02,1098.38,0,1098.56,1072.03,1073.01,0,^GSPC,5026360000
2010-06-03,1102.83,0,1105.67,1091.81,1098.82,0,^GSPC,4995970000
2010-06-04,1064.88,0,1098.43,1060.5,1098.43,0,^GSPC,6180580000
2010-06-07,1050.47,0,1071.36,1049.86,1065.84,0,^GSPC,5467560000
2010-06-08,1062.0,0,1063.15,1042.17,1050.81,0,^GSPC,6192750000
2010-06-09,1055.69,0,1077.74,1052.25,1062.75,0,^GSPC,5983200000
2010-06-10,1086.84,0,1087.85,1058.77,1058.77,0,^GSPC,5144780000
2010-06-11,1091.6,0,1092.25,1077.12,1082.65,0,^GSPC,4059280000
2010-06-14,1089.63,0,1105.91,1089.03,1095.0,0,^GSPC,4425830000
2010-06-15,1115.23,0,1115.59,1091.21,1091.21,0,^GSPC,4644490000
2010-06-16,1114.61,0,1118.74,1107.13,1114.02,0,^GSPC,5002600000
2010-06-17,1116.04,0,1117.72,1105.87,1115.98,0,^GSPC,4557760000
2010-06-18,1117.51,0,1121.01,1113.93,1116.16,0,^GSPC,4555360000
2010-06-21,1113.2,0,1131.23,1108.24,1122.79,0,^GSPC,4514360000
2010-06-22,1095.31,0,1118.5,1094.18,1113.9,0,^GSPC,4514380000
2010-06-23,1092.04,0,1099.64,1085.31,1095.57,0,^GSPC,4526150000
2010-06-24,1073.69,0,1090.93,1071.6,1090.93,0,^GSPC,4814830000
2010-06-25,1076.76,0,1083.56,1067.89,1075.1,0,^GSPC,5128840000
2010-06-28,1074.57,0,1082.6,1071.45,1077.5,0,^GSPC,3896410000
2010-06-29,1041.24,0,1071.1,1035.18,1071.1,0,^GSPC,6136700000
2010-06-30,1030.71,0,1048.08,1028.33,1040.56,0,^GSPC,5067080000
2010-07-01,1027.37,0,1033.58,1010.91,1031.1,0,^GSPC,6435770000
2010-07-02,1022.58,0,1032.95,1015.93,1027.65,0,^GSPC,3968500000
2010-07-06,1028.06,0,1042.5,1018.35,1028.09,0,^GSPC,4691240000
2010-07-07,1060.27,0,1060.89,1028.54,1028.54,0,^GSPC,4931220000
2010-07-08,1070.25,0,1071.25,1058.24,1062.92,0,^GSPC,4548460000
2010-07-09,1077.96,0,1078.16,1068.1,1070.5,0,^GSPC,3506570000
2010-07-12,1078.75,0,1080.78,1070.45,1077.23,0,^GSPC,3426990000
2010-07-13,1095.34,0,1099.46,1080.65,1080.65,0,^GSPC,4640460000
2010-07-14,1095.17,0,1099.08,1087.68,1095.61,0,^GSPC,4521050000
2010-07-15,1096.48,0,1098.66,1080.53,1094.46,0,^GSPC,4552470000
2010-07-16,1064.88,0,1093.85,1063.32,1093.85,0,^GSPC,5297350000
2010-07-19,1071.25,0,1074.7,1061.11,1066.85,0,^GSPC,4089500000
2010-07-20,1083.48,0,1083.94,1056.88,1064.53,0,^GSPC,4713280000
2010-07-21,1069.59,0,1088.96,1065.25,1086.67,0,^GSPC,4747180000
2010-07-22,1093.67,0,1097.5,1072.14,1072.14,0,^GSPC,4826900000
2010-07-23,1102.66,0,1103.73,1087.88,1092.17,0,^GSPC,4524570000
2010-07-26,1115.01,0,1115.01,1101.3,1102.89,0,^GSPC,4009650000
